time,module,action
22.6122,PROCEDURAL,RULE SELECTED: reset_goal
22.6622,PROCEDURAL,RULE FIRED: reset_goal
22.6622,g,MODIFIED
22.6622,PROCEDURAL,CONFLICT RESOLUTION
22.6622,PROCEDURAL,RULE SELECTED: encode_letter
22.7122,PROCEDURAL,RULE FIRED: encode_letter
22.7122,g,MODIFIED
22.7122,g2,CLEARED
22.7122,PROCEDURAL,CONFLICT RESOLUTION
22.7122,PROCEDURAL,NO RULE FOUND
22.9122,g2,CREATED A CHUNK: image(img= O)
22.9122,PROCEDURAL,CONFLICT RESOLUTION
22.9122,PROCEDURAL,RULE SELECTED: ignore_non_A
22.9622,PROCEDURAL,RULE FIRED: ignore_non_A
22.9622,g,MODIFIED
22.9622,PROCEDURAL,CONFLICT RESOLUTION
22.9622,PROCEDURAL,RULE SELECTED: reset_goal
23.0122,PROCEDURAL,RULE FIRED: reset_goal
23.0122,g,MODIFIED
23.0122,PROCEDURAL,CONFLICT RESOLUTION
23.0122,PROCEDURAL,RULE SELECTED: encode_letter
23.0139,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value=  )"
23.0622,PROCEDURAL,RULE FIRED: encode_letter
23.0622,g,MODIFIED
23.0622,g2,CLEARED
23.0622,PROCEDURAL,CONFLICT RESOLUTION
23.0622,PROCEDURAL,NO RULE FOUND
23.2622,g2,CREATED A CHUNK: image(img=  )
23.2622,PROCEDURAL,CONFLICT RESOLUTION
23.2622,PROCEDURAL,RULE SELECTED: ignore_non_A
23.3122,PROCEDURAL,RULE FIRED: ignore_non_A
23.3122,g,MODIFIED
23.3122,PROCEDURAL,CONFLICT RESOLUTION
23.3122,PROCEDURAL,RULE SELECTED: reset_goal
23.3622,PROCEDURAL,RULE FIRED: reset_goal
23.3622,g,MODIFIED
23.3622,PROCEDURAL,CONFLICT RESOLUTION
23.3622,PROCEDURAL,RULE SELECTED: encode_letter
23.4122,PROCEDURAL,RULE FIRED: encode_letter
23.4122,g,MODIFIED
23.4122,g2,CLEARED
23.4122,PROCEDURAL,CONFLICT RESOLUTION
23.4122,PROCEDURAL,NO RULE FOUND
23.6122,g2,CREATED A CHUNK: image(img=  )
23.6122,PROCEDURAL,CONFLICT RESOLUTION
23.6122,PROCEDURAL,RULE SELECTED: ignore_non_A
23.6622,PROCEDURAL,RULE FIRED: ignore_non_A
23.6622,g,MODIFIED
23.6622,PROCEDURAL,CONFLICT RESOLUTION
23.6622,PROCEDURAL,RULE SELECTED: reset_goal
23.7122,PROCEDURAL,RULE FIRED: reset_goal
23.7122,g,MODIFIED
23.7122,PROCEDURAL,CONFLICT RESOLUTION
23.7122,PROCEDURAL,RULE SELECTED: encode_letter
23.7622,PROCEDURAL,RULE FIRED: encode_letter
23.7622,g,MODIFIED
23.7622,g2,CLEARED
23.7622,PROCEDURAL,CONFLICT RESOLUTION
23.7622,PROCEDURAL,NO RULE FOUND
23.9622,g2,CREATED A CHUNK: image(img=  )
23.9622,PROCEDURAL,CONFLICT RESOLUTION
23.9622,PROCEDURAL,RULE SELECTED: ignore_non_A
24.0095,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value= A)"
24.0122,PROCEDURAL,RULE FIRED: ignore_non_A
24.0122,g,MODIFIED
24.0122,PROCEDURAL,CONFLICT RESOLUTION
24.0122,PROCEDURAL,RULE SELECTED: reset_goal
24.0622,PROCEDURAL,RULE FIRED: reset_goal
24.0622,g,MODIFIED
24.0622,PROCEDURAL,CONFLICT RESOLUTION
24.0622,PROCEDURAL,RULE SELECTED: encode_letter
24.1122,PROCEDURAL,RULE FIRED: encode_letter
24.1122,g,MODIFIED
24.1122,g2,CLEARED
24.1122,PROCEDURAL,CONFLICT RESOLUTION
24.1122,PROCEDURAL,NO RULE FOUND
24.3122,g2,CREATED A CHUNK: image(img= A)
24.3122,PROCEDURAL,CONFLICT RESOLUTION
24.3122,PROCEDURAL,RULE SELECTED: respond_to_A
24.3622,PROCEDURAL,RULE FIRED: respond_to_A
24.3622,g,MODIFIED
24.3622,manual,COMMAND: press_key
24.3622,manual,PREPARATION COMPLETE
24.3622,PROCEDURAL,CONFLICT RESOLUTION
24.3622,PROCEDURAL,RULE SELECTED: reset_goal
24.4122,manual,INITIATION COMPLETE
24.4122,PROCEDURAL,RULE FIRED: reset_goal
24.4122,g,MODIFIED
24.4122,PROCEDURAL,CONFLICT RESOLUTION
24.4122,PROCEDURAL,RULE SELECTED: encode_letter
24.4622,PROCEDURAL,RULE FIRED: encode_letter
24.4622,g,MODIFIED
24.4622,g2,CLEARED
24.4622,PROCEDURAL,CONFLICT RESOLUTION
24.4622,PROCEDURAL,NO RULE FOUND
24.5122,manual,KEY PRESSED: 1
24.5122,PROCEDURAL,CONFLICT RESOLUTION
24.5122,PROCEDURAL,NO RULE FOUND
24.6622,manual,MOVEMENT FINISHED
24.6622,g2,CREATED A CHUNK: image(img= A)
24.6622,PROCEDURAL,CONFLICT RESOLUTION
24.6622,PROCEDURAL,RULE SELECTED: respond_to_A
24.7122,PROCEDURAL,RULE FIRED: respond_to_A
24.7122,g,MODIFIED
24.7122,manual,COMMAND: press_key
24.7122,manual,PREPARATION COMPLETE
24.7122,PROCEDURAL,CONFLICT RESOLUTION
24.7122,PROCEDURAL,RULE SELECTED: reset_goal
24.7622,manual,INITIATION COMPLETE
24.7622,PROCEDURAL,RULE FIRED: reset_goal
24.7622,g,MODIFIED
24.7622,PROCEDURAL,CONFLICT RESOLUTION
24.7622,PROCEDURAL,RULE SELECTED: encode_letter
24.8122,PROCEDURAL,RULE FIRED: encode_letter
24.8122,g,MODIFIED
24.8122,g2,CLEARED
24.8122,PROCEDURAL,CONFLICT RESOLUTION
24.8122,PROCEDURAL,NO RULE FOUND
24.8622,manual,KEY PRESSED: 1
24.8622,PROCEDURAL,CONFLICT RESOLUTION
24.8622,PROCEDURAL,NO RULE FOUND
25.0,PROCEDURAL,CONFLICT RESOLUTION
25.0,PROCEDURAL,NO RULE FOUND
25.0048,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value=  )"
25.0048,PROCEDURAL,CONFLICT RESOLUTION
25.0048,PROCEDURAL,NO RULE FOUND
25.0122,manual,MOVEMENT FINISHED
25.0122,g2,CREATED A CHUNK: image(img= A)
25.0122,PROCEDURAL,CONFLICT RESOLUTION
25.0122,PROCEDURAL,RULE SELECTED: respond_to_A
25.0622,PROCEDURAL,RULE FIRED: respond_to_A
25.0622,g,MODIFIED
25.0622,manual,COMMAND: press_key
25.0622,manual,PREPARATION COMPLETE
25.0622,PROCEDURAL,CONFLICT RESOLUTION
25.0622,PROCEDURAL,RULE SELECTED: reset_goal
25.1122,manual,INITIATION COMPLETE
25.1122,PROCEDURAL,RULE FIRED: reset_goal
25.1122,g,MODIFIED
25.1122,PROCEDURAL,CONFLICT RESOLUTION
25.1122,PROCEDURAL,RULE SELECTED: encode_letter
25.1622,PROCEDURAL,RULE FIRED: encode_letter
25.1622,g,MODIFIED
25.1622,g2,CLEARED
25.1622,PROCEDURAL,CONFLICT RESOLUTION
25.1622,PROCEDURAL,NO RULE FOUND
25.2122,manual,KEY PRESSED: 1
25.2122,PROCEDURAL,CONFLICT RESOLUTION
25.2122,PROCEDURAL,NO RULE FOUND
25.3622,manual,MOVEMENT FINISHED
25.3622,g2,CREATED A CHUNK: image(img=  )
25.3622,PROCEDURAL,CONFLICT RESOLUTION
25.3622,PROCEDURAL,RULE SELECTED: ignore_non_A
25.4122,PROCEDURAL,RULE FIRED: ignore_non_A
25.4122,g,MODIFIED
25.4122,PROCEDURAL,CONFLICT RESOLUTION
25.4122,PROCEDURAL,RULE SELECTED: reset_goal
25.4622,PROCEDURAL,RULE FIRED: reset_goal
25.4622,g,MODIFIED
25.4622,PROCEDURAL,CONFLICT RESOLUTION
25.4622,PROCEDURAL,RULE SELECTED: encode_letter
25.5122,PROCEDURAL,RULE FIRED: encode_letter
25.5122,g,MODIFIED
25.5122,g2,CLEARED
25.5122,PROCEDURAL,CONFLICT RESOLUTION
25.5122,PROCEDURAL,NO RULE FOUND
25.7122,g2,CREATED A CHUNK: image(img=  )
25.7122,PROCEDURAL,CONFLICT RESOLUTION
25.7122,PROCEDURAL,RULE SELECTED: ignore_non_A
25.7622,PROCEDURAL,RULE FIRED: ignore_non_A
25.7622,g,MODIFIED
25.7622,PROCEDURAL,CONFLICT RESOLUTION
25.7622,PROCEDURAL,RULE SELECTED: reset_goal
25.8122,PROCEDURAL,RULE FIRED: reset_goal
25.8122,g,MODIFIED
25.8122,PROCEDURAL,CONFLICT RESOLUTION
25.8122,PROCEDURAL,RULE SELECTED: encode_letter
25.8622,PROCEDURAL,RULE FIRED: encode_letter
25.8622,g,MODIFIED
25.8622,g2,CLEARED
25.8622,PROCEDURAL,CONFLICT RESOLUTION
25.8622,PROCEDURAL,NO RULE FOUND
26.0,PROCEDURAL,CONFLICT RESOLUTION
26.0,PROCEDURAL,NO RULE FOUND
26.0155,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value= A)"
26.0155,PROCEDURAL,CONFLICT RESOLUTION
26.0155,PROCEDURAL,NO RULE FOUND
26.0622,g2,CREATED A CHUNK: image(img=  )
26.0622,PROCEDURAL,CONFLICT RESOLUTION
26.0622,PROCEDURAL,RULE SELECTED: ignore_non_A
26.1122,PROCEDURAL,RULE FIRED: ignore_non_A
26.1122,g,MODIFIED
26.1122,PROCEDURAL,CONFLICT RESOLUTION
26.1122,PROCEDURAL,RULE SELECTED: reset_goal
26.1622,PROCEDURAL,RULE FIRED: reset_goal
26.1622,g,MODIFIED
26.1622,PROCEDURAL,CONFLICT RESOLUTION
26.1622,PROCEDURAL,RULE SELECTED: encode_letter
26.2122,PROCEDURAL,RULE FIRED: encode_letter
26.2122,g,MODIFIED
26.2122,g2,CLEARED
26.2122,PROCEDURAL,CONFLICT RESOLUTION
26.2122,PROCEDURAL,NO RULE FOUND
26.4122,g2,CREATED A CHUNK: image(img= A)
26.4122,PROCEDURAL,CONFLICT RESOLUTION
26.4122,PROCEDURAL,RULE SELECTED: respond_to_A
26.4622,PROCEDURAL,RULE FIRED: respond_to_A
26.4622,g,MODIFIED
26.4622,manual,COMMAND: press_key
26.4622,manual,PREPARATION COMPLETE
26.4622,PROCEDURAL,CONFLICT RESOLUTION
26.4622,PROCEDURAL,RULE SELECTED: reset_goal
26.5122,manual,INITIATION COMPLETE
26.5122,PROCEDURAL,RULE FIRED: reset_goal
26.5122,g,MODIFIED
26.5122,PROCEDURAL,CONFLICT RESOLUTION
26.5122,PROCEDURAL,RULE SELECTED: encode_letter
26.5622,PROCEDURAL,RULE FIRED: encode_letter
26.5622,g,MODIFIED
26.5622,g2,CLEARED
26.5622,PROCEDURAL,CONFLICT RESOLUTION
26.5622,PROCEDURAL,NO RULE FOUND
26.6122,manual,KEY PRESSED: 1
26.6122,PROCEDURAL,CONFLICT RESOLUTION
26.6122,PROCEDURAL,NO RULE FOUND
26.7622,manual,MOVEMENT FINISHED
26.7622,g2,CREATED A CHUNK: image(img= A)
26.7622,PROCEDURAL,CONFLICT RESOLUTION
26.7622,PROCEDURAL,RULE SELECTED: respond_to_A
26.8122,PROCEDURAL,RULE FIRED: respond_to_A
26.8122,g,MODIFIED
26.8122,manual,COMMAND: press_key
26.8122,manual,PREPARATION COMPLETE
26.8122,PROCEDURAL,CONFLICT RESOLUTION
26.8122,PROCEDURAL,RULE SELECTED: reset_goal
26.8622,manual,INITIATION COMPLETE
26.8622,PROCEDURAL,RULE FIRED: reset_goal
26.8622,g,MODIFIED
26.8622,PROCEDURAL,CONFLICT RESOLUTION
26.8622,PROCEDURAL,RULE SELECTED: encode_letter
26.9122,PROCEDURAL,RULE FIRED: encode_letter
26.9122,g,MODIFIED
26.9122,g2,CLEARED
26.9122,PROCEDURAL,CONFLICT RESOLUTION
26.9122,PROCEDURAL,NO RULE FOUND
26.9622,manual,KEY PRESSED: 1
26.9622,PROCEDURAL,CONFLICT RESOLUTION
26.9622,PROCEDURAL,NO RULE FOUND
27.0,PROCEDURAL,CONFLICT RESOLUTION
27.0,PROCEDURAL,NO RULE FOUND
27.0173,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value=  )"
27.0173,PROCEDURAL,CONFLICT RESOLUTION
27.0173,PROCEDURAL,NO RULE FOUND
27.1122,manual,MOVEMENT FINISHED
27.1122,g2,CREATED A CHUNK: image(img= A)
27.1122,PROCEDURAL,CONFLICT RESOLUTION
27.1122,PROCEDURAL,RULE SELECTED: respond_to_A
27.1622,PROCEDURAL,RULE FIRED: respond_to_A
27.1622,g,MODIFIED
27.1622,manual,COMMAND: press_key
27.1622,manual,PREPARATION COMPLETE
27.1622,PROCEDURAL,CONFLICT RESOLUTION
27.1622,PROCEDURAL,RULE SELECTED: reset_goal
27.2122,manual,INITIATION COMPLETE
27.2122,PROCEDURAL,RULE FIRED: reset_goal
27.2122,g,MODIFIED
27.2122,PROCEDURAL,CONFLICT RESOLUTION
27.2122,PROCEDURAL,RULE SELECTED: encode_letter
27.2622,PROCEDURAL,RULE FIRED: encode_letter
27.2622,g,MODIFIED
27.2622,g2,CLEARED
27.2622,PROCEDURAL,CONFLICT RESOLUTION
27.2622,PROCEDURAL,NO RULE FOUND
27.3122,manual,KEY PRESSED: 1
27.3122,PROCEDURAL,CONFLICT RESOLUTION
27.3122,PROCEDURAL,NO RULE FOUND
27.4622,manual,MOVEMENT FINISHED
27.4622,g2,CREATED A CHUNK: image(img=  )
27.4622,PROCEDURAL,CONFLICT RESOLUTION
27.4622,PROCEDURAL,RULE SELECTED: ignore_non_A
27.5122,PROCEDURAL,RULE FIRED: ignore_non_A
27.5122,g,MODIFIED
27.5122,PROCEDURAL,CONFLICT RESOLUTION
27.5122,PROCEDURAL,RULE SELECTED: reset_goal
27.5622,PROCEDURAL,RULE FIRED: reset_goal
27.5622,g,MODIFIED
27.5622,PROCEDURAL,CONFLICT RESOLUTION
27.5622,PROCEDURAL,RULE SELECTED: encode_letter
27.6122,PROCEDURAL,RULE FIRED: encode_letter
27.6122,g,MODIFIED
27.6122,g2,CLEARED
27.6122,PROCEDURAL,CONFLICT RESOLUTION
27.6122,PROCEDURAL,NO RULE FOUND
27.8122,g2,CREATED A CHUNK: image(img=  )
27.8122,PROCEDURAL,CONFLICT RESOLUTION
27.8122,PROCEDURAL,RULE SELECTED: ignore_non_A
27.8622,PROCEDURAL,RULE FIRED: ignore_non_A
27.8622,g,MODIFIED
27.8622,PROCEDURAL,CONFLICT RESOLUTION
27.8622,PROCEDURAL,RULE SELECTED: reset_goal
27.9122,PROCEDURAL,RULE FIRED: reset_goal
27.9122,g,MODIFIED
27.9122,PROCEDURAL,CONFLICT RESOLUTION
27.9122,PROCEDURAL,RULE SELECTED: encode_letter
27.9622,PROCEDURAL,RULE FIRED: encode_letter
27.9622,g,MODIFIED
27.9622,g2,CLEARED
27.9622,PROCEDURAL,CONFLICT RESOLUTION
27.9622,PROCEDURAL,NO RULE FOUND
28.0,PROCEDURAL,CONFLICT RESOLUTION
28.0,PROCEDURAL,NO RULE FOUND
28.0156,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value= A)"
28.0156,PROCEDURAL,CONFLICT RESOLUTION
28.0156,PROCEDURAL,NO RULE FOUND
28.1622,g2,CREATED A CHUNK: image(img=  )
28.1622,PROCEDURAL,CONFLICT RESOLUTION
28.1622,PROCEDURAL,RULE SELECTED: ignore_non_A
28.2122,PROCEDURAL,RULE FIRED: ignore_non_A
28.2122,g,MODIFIED
28.2122,PROCEDURAL,CONFLICT RESOLUTION
28.2122,PROCEDURAL,RULE SELECTED: reset_goal
28.2622,PROCEDURAL,RULE FIRED: reset_goal
28.2622,g,MODIFIED
28.2622,PROCEDURAL,CONFLICT RESOLUTION
28.2622,PROCEDURAL,RULE SELECTED: encode_letter
28.3122,PROCEDURAL,RULE FIRED: encode_letter
28.3122,g,MODIFIED
28.3122,g2,CLEARED
28.3122,PROCEDURAL,CONFLICT RESOLUTION
28.3122,PROCEDURAL,NO RULE FOUND
28.5122,g2,CREATED A CHUNK: image(img= A)
28.5122,PROCEDURAL,CONFLICT RESOLUTION
28.5122,PROCEDURAL,RULE SELECTED: respond_to_A
28.5622,PROCEDURAL,RULE FIRED: respond_to_A
28.5622,g,MODIFIED
28.5622,manual,COMMAND: press_key
28.5622,manual,PREPARATION COMPLETE
28.5622,PROCEDURAL,CONFLICT RESOLUTION
28.5622,PROCEDURAL,RULE SELECTED: reset_goal
28.6122,manual,INITIATION COMPLETE
28.6122,PROCEDURAL,RULE FIRED: reset_goal
28.6122,g,MODIFIED
28.6122,PROCEDURAL,CONFLICT RESOLUTION
28.6122,PROCEDURAL,RULE SELECTED: encode_letter
28.6622,PROCEDURAL,RULE FIRED: encode_letter
28.6622,g,MODIFIED
28.6622,g2,CLEARED
28.6622,PROCEDURAL,CONFLICT RESOLUTION
28.6622,PROCEDURAL,NO RULE FOUND
28.7122,manual,KEY PRESSED: 1
28.7122,PROCEDURAL,CONFLICT RESOLUTION
28.7122,PROCEDURAL,NO RULE FOUND
28.8622,manual,MOVEMENT FINISHED
28.8622,g2,CREATED A CHUNK: image(img= A)
28.8622,PROCEDURAL,CONFLICT RESOLUTION
28.8622,PROCEDURAL,RULE SELECTED: respond_to_A
28.9122,PROCEDURAL,RULE FIRED: respond_to_A
28.9122,g,MODIFIED
28.9122,manual,COMMAND: press_key
28.9122,manual,PREPARATION COMPLETE
28.9122,PROCEDURAL,CONFLICT RESOLUTION
28.9122,PROCEDURAL,RULE SELECTED: reset_goal
28.9622,manual,INITIATION COMPLETE
28.9622,PROCEDURAL,RULE FIRED: reset_goal
28.9622,g,MODIFIED
28.9622,PROCEDURAL,CONFLICT RESOLUTION
28.9622,PROCEDURAL,RULE SELECTED: encode_letter
29.01,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value=  )"
29.0122,PROCEDURAL,RULE FIRED: encode_letter
29.0122,g,MODIFIED
29.0122,g2,CLEARED
29.0122,PROCEDURAL,CONFLICT RESOLUTION
29.0122,PROCEDURAL,NO RULE FOUND
29.0622,manual,KEY PRESSED: 1
29.0622,PROCEDURAL,CONFLICT RESOLUTION
29.0622,PROCEDURAL,NO RULE FOUND
29.2122,manual,MOVEMENT FINISHED
29.2122,g2,CREATED A CHUNK: image(img=  )
29.2122,PROCEDURAL,CONFLICT RESOLUTION
29.2122,PROCEDURAL,RULE SELECTED: ignore_non_A
29.2622,PROCEDURAL,RULE FIRED: ignore_non_A
29.2622,g,MODIFIED
29.2622,PROCEDURAL,CONFLICT RESOLUTION
29.2622,PROCEDURAL,RULE SELECTED: reset_goal
29.3122,PROCEDURAL,RULE FIRED: reset_goal
29.3122,g,MODIFIED
29.3122,PROCEDURAL,CONFLICT RESOLUTION
29.3122,PROCEDURAL,RULE SELECTED: encode_letter
29.3622,PROCEDURAL,RULE FIRED: encode_letter
29.3622,g,MODIFIED
29.3622,g2,CLEARED
29.3622,PROCEDURAL,CONFLICT RESOLUTION
29.3622,PROCEDURAL,NO RULE FOUND
29.5622,g2,CREATED A CHUNK: image(img=  )
29.5622,PROCEDURAL,CONFLICT RESOLUTION
29.5622,PROCEDURAL,RULE SELECTED: ignore_non_A
29.6122,PROCEDURAL,RULE FIRED: ignore_non_A
29.6122,g,MODIFIED
29.6122,PROCEDURAL,CONFLICT RESOLUTION
29.6122,PROCEDURAL,RULE SELECTED: reset_goal
29.6622,PROCEDURAL,RULE FIRED: reset_goal
29.6622,g,MODIFIED
29.6622,PROCEDURAL,CONFLICT RESOLUTION
29.6622,PROCEDURAL,RULE SELECTED: encode_letter
29.7122,PROCEDURAL,RULE FIRED: encode_letter
29.7122,g,MODIFIED
29.7122,g2,CLEARED
29.7122,PROCEDURAL,CONFLICT RESOLUTION
29.7122,PROCEDURAL,NO RULE FOUND
29.9122,g2,CREATED A CHUNK: image(img=  )
29.9122,PROCEDURAL,CONFLICT RESOLUTION
29.9122,PROCEDURAL,RULE SELECTED: ignore_non_A
29.9622,PROCEDURAL,RULE FIRED: ignore_non_A
29.9622,g,MODIFIED
29.9622,PROCEDURAL,CONFLICT RESOLUTION
29.9622,PROCEDURAL,RULE SELECTED: reset_goal
30.0122,PROCEDURAL,RULE FIRED: reset_goal
30.0122,g,MODIFIED
30.0122,PROCEDURAL,CONFLICT RESOLUTION
30.0122,PROCEDURAL,RULE SELECTED: encode_letter
30.0175,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value= A)"
30.0622,PROCEDURAL,RULE FIRED: encode_letter
30.0622,g,MODIFIED
30.0622,g2,CLEARED
30.0622,PROCEDURAL,CONFLICT RESOLUTION
30.0622,PROCEDURAL,NO RULE FOUND
30.2622,g2,CREATED A CHUNK: image(img= A)
30.2622,PROCEDURAL,CONFLICT RESOLUTION
30.2622,PROCEDURAL,RULE SELECTED: respond_to_A
30.3122,PROCEDURAL,RULE FIRED: respond_to_A
30.3122,g,MODIFIED
30.3122,manual,COMMAND: press_key
30.3122,manual,PREPARATION COMPLETE
30.3122,PROCEDURAL,CONFLICT RESOLUTION
30.3122,PROCEDURAL,RULE SELECTED: reset_goal
30.3622,manual,INITIATION COMPLETE
30.3622,PROCEDURAL,RULE FIRED: reset_goal
30.3622,g,MODIFIED
30.3622,PROCEDURAL,CONFLICT RESOLUTION
30.3622,PROCEDURAL,RULE SELECTED: encode_letter
30.4122,PROCEDURAL,RULE FIRED: encode_letter
30.4122,g,MODIFIED
30.4122,g2,CLEARED
30.4122,PROCEDURAL,CONFLICT RESOLUTION
30.4122,PROCEDURAL,NO RULE FOUND
30.4622,manual,KEY PRESSED: 1
30.4622,PROCEDURAL,CONFLICT RESOLUTION
30.4622,PROCEDURAL,NO RULE FOUND
30.6122,manual,MOVEMENT FINISHED
30.6122,g2,CREATED A CHUNK: image(img= A)
30.6122,PROCEDURAL,CONFLICT RESOLUTION
30.6122,PROCEDURAL,RULE SELECTED: respond_to_A
30.6622,PROCEDURAL,RULE FIRED: respond_to_A
30.6622,g,MODIFIED
30.6622,manual,COMMAND: press_key
30.6622,manual,PREPARATION COMPLETE
30.6622,PROCEDURAL,CONFLICT RESOLUTION
30.6622,PROCEDURAL,RULE SELECTED: reset_goal
30.7122,manual,INITIATION COMPLETE
30.7122,PROCEDURAL,RULE FIRED: reset_goal
30.7122,g,MODIFIED
30.7122,PROCEDURAL,CONFLICT RESOLUTION
30.7122,PROCEDURAL,RULE SELECTED: encode_letter
30.7622,PROCEDURAL,RULE FIRED: encode_letter
30.7622,g,MODIFIED
30.7622,g2,CLEARED
30.7622,PROCEDURAL,CONFLICT RESOLUTION
30.7622,PROCEDURAL,NO RULE FOUND
30.8122,manual,KEY PRESSED: 1
30.8122,PROCEDURAL,CONFLICT RESOLUTION
30.8122,PROCEDURAL,NO RULE FOUND
30.9622,manual,MOVEMENT FINISHED
30.9622,g2,CREATED A CHUNK: image(img= A)
30.9622,PROCEDURAL,CONFLICT RESOLUTION
30.9622,PROCEDURAL,RULE SELECTED: respond_to_A
31.0111,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value=  )"
31.0122,PROCEDURAL,RULE FIRED: respond_to_A
31.0122,g,MODIFIED
31.0122,manual,COMMAND: press_key
31.0122,manual,PREPARATION COMPLETE
31.0122,PROCEDURAL,CONFLICT RESOLUTION
31.0122,PROCEDURAL,RULE SELECTED: reset_goal
31.0622,manual,INITIATION COMPLETE
31.0622,PROCEDURAL,RULE FIRED: reset_goal
31.0622,g,MODIFIED
31.0622,PROCEDURAL,CONFLICT RESOLUTION
31.0622,PROCEDURAL,RULE SELECTED: encode_letter
31.1122,PROCEDURAL,RULE FIRED: encode_letter
31.1122,g,MODIFIED
31.1122,g2,CLEARED
31.1122,PROCEDURAL,CONFLICT RESOLUTION
31.1122,PROCEDURAL,NO RULE FOUND
31.1622,manual,KEY PRESSED: 1
31.1622,PROCEDURAL,CONFLICT RESOLUTION
31.1622,PROCEDURAL,NO RULE FOUND
31.3122,manual,MOVEMENT FINISHED
31.3122,g2,CREATED A CHUNK: image(img=  )
31.3122,PROCEDURAL,CONFLICT RESOLUTION
31.3122,PROCEDURAL,RULE SELECTED: ignore_non_A
31.3622,PROCEDURAL,RULE FIRED: ignore_non_A
31.3622,g,MODIFIED
31.3622,PROCEDURAL,CONFLICT RESOLUTION
31.3622,PROCEDURAL,RULE SELECTED: reset_goal
31.4122,PROCEDURAL,RULE FIRED: reset_goal
31.4122,g,MODIFIED
31.4122,PROCEDURAL,CONFLICT RESOLUTION
31.4122,PROCEDURAL,RULE SELECTED: encode_letter
31.4622,PROCEDURAL,RULE FIRED: encode_letter
31.4622,g,MODIFIED
31.4622,g2,CLEARED
31.4622,PROCEDURAL,CONFLICT RESOLUTION
31.4622,PROCEDURAL,NO RULE FOUND
31.6622,g2,CREATED A CHUNK: image(img=  )
31.6622,PROCEDURAL,CONFLICT RESOLUTION
31.6622,PROCEDURAL,RULE SELECTED: ignore_non_A
31.7122,PROCEDURAL,RULE FIRED: ignore_non_A
31.7122,g,MODIFIED
31.7122,PROCEDURAL,CONFLICT RESOLUTION
31.7122,PROCEDURAL,RULE SELECTED: reset_goal
31.7622,PROCEDURAL,RULE FIRED: reset_goal
31.7622,g,MODIFIED
31.7622,PROCEDURAL,CONFLICT RESOLUTION
31.7622,PROCEDURAL,RULE SELECTED: encode_letter
31.8122,PROCEDURAL,RULE FIRED: encode_letter
31.8122,g,MODIFIED
31.8122,g2,CLEARED
31.8122,PROCEDURAL,CONFLICT RESOLUTION
31.8122,PROCEDURAL,NO RULE FOUND
32.0,PROCEDURAL,CONFLICT RESOLUTION
32.0,PROCEDURAL,NO RULE FOUND
32.0067,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value= O)"
32.0067,PROCEDURAL,CONFLICT RESOLUTION
32.0067,PROCEDURAL,NO RULE FOUND
32.0122,g2,CREATED A CHUNK: image(img=  )
32.0122,PROCEDURAL,CONFLICT RESOLUTION
32.0122,PROCEDURAL,RULE SELECTED: ignore_non_A
32.0622,PROCEDURAL,RULE FIRED: ignore_non_A
32.0622,g,MODIFIED
32.0622,PROCEDURAL,CONFLICT RESOLUTION
32.0622,PROCEDURAL,RULE SELECTED: reset_goal
32.1122,PROCEDURAL,RULE FIRED: reset_goal
32.1122,g,MODIFIED
32.1122,PROCEDURAL,CONFLICT RESOLUTION
32.1122,PROCEDURAL,RULE SELECTED: encode_letter
32.1622,PROCEDURAL,RULE FIRED: encode_letter
32.1622,g,MODIFIED
32.1622,g2,CLEARED
32.1622,PROCEDURAL,CONFLICT RESOLUTION
32.1622,PROCEDURAL,NO RULE FOUND
32.3622,g2,CREATED A CHUNK: image(img= O)
32.3622,PROCEDURAL,CONFLICT RESOLUTION
32.3622,PROCEDURAL,RULE SELECTED: ignore_non_A
32.4122,PROCEDURAL,RULE FIRED: ignore_non_A
32.4122,g,MODIFIED
32.4122,PROCEDURAL,CONFLICT RESOLUTION
32.4122,PROCEDURAL,RULE SELECTED: reset_goal
